\Start Parameters,,,,,,,,
Title,Experiment Title,,,,,,,
Description,Brief description of the lab,,,,,,,
Icon,🧪,,,,,,,
Warning Tolerance,0.05,,,,,,,
Incorrect Tolerance,0.1,,,,,,,
Trials,2,,,,,,,
Template,TRUE,,,,,,,
\End Parameters,,,,,,,,
,,,,,,,,
=== TEMPLATE DOCUMENTATION ===,,,,,,,,
,,,,,,,,
PARAMETERS SECTION:,,,,,,,,
=- Title: The name displayed in The calculator dropdown,,,,,,,,
=- Description: Brief Description shown in The calculator selector,,,,,,,,
"- Icon: Emoji icon for the calculator (e.g., 🧪, ⚗️, 🌡️, 🧊, 💨)",,,,,,,,
"- Warning Tolerance: Decimal (e.g., 0.05 = 5%) - values within this range show as 'close'",,,,,,,,
"- Incorrect Tolerance: Decimal (e.g., 0.1 = 10%) - values beyond this are marked incorrect",,,,,,,,
- Trials: Number of trials (1 or 2) - determines column layout,,,,,,,,
- Template: Set to 'true' to exclude from calculator list (for templates only),,,,,,,,
,,,,,,,,
ENTRY TYPES:,,,,,,,,
=- Data: Student enters a numeric value (creates input box),,,,,,,,
=- Calculated: Formula-based value that students calculate and enter,,,,,,,,
"- Choice: Dropdown selection from semicolon-separated options (e.g., A; B; C; D)",,,,,,,,
"=- Text: Free-form Text entry (e.g., compound names, unknown identifiers)",,,,,,,,
,,,,,,,,
TABLE COLUMNS:,,,,,,,,
"- Section: Groups rows under a header (e.g., 'Part 1: Data Collection')",,,,,,,,
"- Subsection: Sub-grouping within a section (e.g., 'Data', 'Calculations')",,,,,,,,
"- DataRef1/DataRef2: Cell reference for Trial 1/2 (e.g., =F5, =G5)",,,,,,,,
=- Label: Description shown to The Student,,,,,,,,
- Trial 1/Trial 2: Value or formula (use NA for single-trial cells),,,,,,,,
"=- Unit: Unit of measurement (e.g., g, mL, mol, ˚C)",,,,,,,,
"=- entry Type: One of Data, Calculated, Choice, or Text",,,,,,,,
,,,,,,,,
FORMULAS:,,,,,,,,
"- Start with = sign (e.g., =F8-F5)",,,,,,,,
"=- reference cells by their DataRef (e.g., F5, G5)",,,,,,,,
"- Supported: +, -, *, /, ^, parentheses",,,,,,,,
- Use 10^(-F5) for exponents with cell references,,,,,,,,
"- For averages, use (A+B+C)/3 instead of AVERAGE()",,,,,,,,
- Use NA in Trial 2 column for values calculated from both trials,,,,,,,,
,,,,,,,,
SECTIONS & SUBSECTIONS:,,,,,,,,
"=- to create a Section header: Put name in Section column, leave other columns empty",,,,,,,,
"- To create a subsection: Put name in Subsection column (e.g., 'Data', 'Calculations')",,,,,,,,
- Subsections help organize the 'Check Work' button groupings,,,,,,,,
,,,,,,,,
=== END DOCUMENTATION ===,,,,,,,,
,,,,,,,,
\Start Table,,,,,,,,
Section,Subsection,DataRef1,DataRef2,Label,Trial 1,Trial 2,Unit,Entry Type
Section 1,,,,,,,,
,Data,,,,,,,
,,=F5,=G5,Example data entry,100,100,g,Data
,,=F6,=G6,Example choice entry,A; B; C; D,A; B; C; D,,Choice
,,=F7,=G7,Example text entry,Sample Name,Sample Name,,Text
,Calculations,,,,,,,
,,=F9,=G9,Example calculated value,=F5*2,=G5*2,g,Calculated
,,=F10,=G10,Example average (both trials),=(F9+G9)/2,NA,g,Calculated
