\Start Parameters,,,,,,
Title,Titration of a Diprotic Acid,,,,,
Description,Single-trial titration calculations with equivalence points,,,,,
Icon,🧪,,,,,
Warning Tolerance,0.05,,,,,
Incorrect Tolerance,0.1,,,,,
Trials,1,,,,,
\End Parameters,,,,,,
\Start Table,,,,,,
Section,Subsection,DataRef1,Label,Trial 1,Unit,Entry Type
Data Table,,,,,,
,Data,,,,,
,,=F3,Mass of diprotic acid,0.12,g,Data
,,=F4,Concentration of NaOH,0.1,M,Data
,,=F5,First or Second equivalence point,First; Second,pH,Choice
,,=F6,NaOH Volume added before the largest pH increase,20,mL,Data
,,=F7,NaOH Volume added after the largest pH increase,21,mL,Data
,Calculations,,,,,
,,=F8,Volume of NaOH added at the equivalence point,=(F6+F7)/2,mL,Calculated
,,=F9,Moles of NaOH,=F8/1000*F4,mol,Calculated
,,=F10,"Moles of diprotic acid, H2X",=F9/2,mol,Calculated
,,=F11,Molecular weight of diprotic acid,=F3/F10,g/mol,Calculated
,,=F12,Name of diprotic acid,Name,,Text
,,=F13,Accepted molecular weight of diprotic acid,100,g/mol,Data
,,=F14,Percent Error,=(F11-F13)/F13*100,%,Calculated
Alternate equivalence point,,,,,,
,Data,,,,,
,,=F16,(indicate the one used in the calculations below),First; Second,,Choice
,,=F17,NaOH Volume added before the largest pH increase,10,mL,Data
,,=F18,NaOH Volume added after the largest pH increase,11,mL,Data
,Calculations,,,,,
,,=F19,Volume of NaOH added at the alternate equivalence point,=(F17+F18)/2,mL,Calculated
Extension,,,,,,
,Calculations,,,,,
,,=F21,NaOH volume added at 1st half equivalence point,=F8/2,mL,Calculated
,,=F22,NaOH volume added at 2nd half equivalence point,=F19/2,mL,Calculated
,,=F23,pKa1,3,,Data
,,=F24,pKa2,6,,Data
,,=F25,Ka1,=10^(-F23),,Calculated
,,=F26,Ka2,=10^(-F24),,Calculated
